Struttura dati utilizzata: PQbinaryHeap   Tempo impiegato: 1.741 s 
 
Peso totale: 1452948.0
 
MST: 
 
(388, 977, 3447.0)
(123, 689, 3463.0)
(426, 998, 3480.0)
(366, 965, 3506.0)
(531, 679, 3509.0)
(1094, 877, 3593.0)
(467, 964, 3665.0)
(13, 172, 3675.0)
(325, 319, 3694.0)
(44, 423, 3699.0)
(92, 625, 3704.0)
(315, 912, 3719.0)
(957, 941, 3729.0)
(988, 1049, 3750.0)
(587, 1072, 3758.0)
(484, 59, 3764.0)
(29, 317, 3782.0)
(534, 1055, 3818.0)
(79, 579, 3894.0)
(183, 578, 3902.0)
(392, 981, 3907.0)
(332, 920, 3908.0)
(48, 439, 4004.0)
(134, 712, 4009.0)
(577, 1070, 4013.0)
(897, 1117, 4018.0)
(395, 942, 4019.0)
(527, 225, 4020.0)
(845, 811, 4115.0)
(488, 1045, 4125.0)
(350, 726, 4144.0)
(143, 731, 4162.0)
(237, 822, 4165.0)
(361, 543, 4176.0)
(406, 990, 4219.0)
(135, 716, 4232.0)
(79, 582, 4238.0)
(366, 963, 4251.0)
(520, 1015, 4258.0)
(311, 905, 4285.0)
(91, 619, 4323.0)
(206, 472, 4398.0)
(375, 970, 4402.0)
(833, 1107, 4470.0)
(11, 150, 4477.0)
(980, 1123, 4527.0)
(920, 1089, 4549.0)
(978, 1122, 4662.0)
(1122, 996, 2651.0)
(494, 1046, 4762.0)
(486, 1043, 4800.0)
(185, 767, 4833.0)
(767, 1102, 3289.0)
(747, 1074, 4857.0)
(320, 915, 4870.0)
(467, 1032, 4902.0)
(348, 946, 4920.0)
(1052, 1128, 4922.0)
(56, 477, 4961.0)
(807, 1096, 5008.0)
(823, 1106, 5084.0)
(198, 784, 5089.0)
(119, 684, 5094.0)
(269, 856, 5146.0)
(592, 1075, 5156.0)
(713, 1098, 5223.0)
(450, 1007, 5304.0)
(6, 96, 5363.0)
(40, 373, 5369.0)
(269, 855, 5374.0)
(349, 947, 5386.0)
(90, 614, 5472.0)
(6, 97, 5510.0)
(97, 634, 3949.0)
(222, 804, 5710.0)
(1022, 1127, 5744.0)
(700, 1095, 5748.0)
(1095, 1132, 5011.0)
(57, 487, 5762.0)
(159, 757, 5854.0)
(377, 973, 5867.0)
(256, 842, 5893.0)
(531, 1054, 5905.0)
(312, 908, 5952.0)
